1,1,177
1,70,67
1,404,64
1,21,49
1,2,34
1,3,19
1,69,12
1,23626,10
1,2567,9
1,388,4
1,2714,4
1,263,4
1,22282,3
1,45925,3
1,22776,3
1,122,2
1,6968,2
1,66112,2
1,447,2
1,42793,2
1,3092,2
1,173,2
1,5453,1
1,4330,1
1,27545,1
1,1779,1
1,108369,1
1,24933,1
1,88061,1
1,174509,1
26,1090,388
26,4,319
26,2749,116
26,6,88
26,77,32
26,18,23
26,134,17
26,8980,13
26,182,13
26,232,9
26,387,9
26,686,8
26,349,7
26,236,6
26,2669,5
26,479,5
26,992,5
26,3981,4
26,14720,4
26,233,4
26,4113,4
26,905,3
26,107,3
26,9310,3
26,75,2
26,2739,2
26,326,2
26,3300,2
26,159,2
26,682,2
27,85,4381
27,7851,3051
27,7,1047
27,9831,748
27,3393,703
27,98601,516
27,1180335,470
27,174,452
27,5244,359
27,6784,338
27,117807,250
27,86065,240
27,2195,218
27,9781,192
27,237493,154
27,43569,150
27,9832,140
27,505,125
27,18191,123
27,48235,116
27,33770,97
27,34378,95
27,448040,95
27,4,91
27,269,79
27,11041,79
27,5432,79
27,3534,72
27,362164,71
27,1060507,68
28,1,452
28,470,105
28,5927,11
28,20,11
28,5426095,7
28,2567,4
28,13449,4
28,335510,4
28,201,4
28,25282,4
28,348,4
28,2,3
28,18891,3
28,816444,3
28,20158,3
28,1077,3
28,92894,3
28,873348,3
28,98859,3
28,780359,3
28,1434,2
28,378481,2
28,26856,2
28,207189,2
28,2704,2
28,47,2
28,21102,2
28,14649,2
28,12062,2
28,309021,1
29,17,22
31,4,3
35,161,4
35,2,1
35,4974,1
36,2,134
36,105,13
36,159,6
42,21,40
42,129149,15
42,12123,5
42,24777,4
42,14761,4
42,433,2
42,47698,2
42,7767,2
42,1473,2
42,1060,1
42,1175,1
42,639,1
42,538,1
42,8324,1
42,10948,1
42,20567,1
42,269,1
42,107,1
42,31768,1
42,3270,1
42,3775,1
42,49660,1
42,3903,1
42,155,1
