1, mojombo
70, schacon
404, rtomayko
21, technoweenie
2, defunkt
3, pjhyett
69, rsanheim
23626, js
2567, tmm1
388, therealadam
2714, chapados
263, halorgium
22282, davetron5000
45925, peff
22776, Voker57
122, cristibalan
6968, hans
66112, koraktor
447, dysinger
42793, vmg
3092, cho45
173, bkeepers
5453, darwin
4330, bobbywilson0
27545, cehoffman
1779, dustin
108369, franckverrot
24933, hiroshi
88061, igorw
174509, shepmaster
1090, michaelklishin
4, wycats
2749, fabien
6, ivey
77, benburkert
18, wayneeseguin
134, jnicklas
8980, dcolthorp
182, mtodd
232, daikini
387, wvl
686, lsegal
349, tooky
236, shayarnett
2669, gabriel
479, jackdempsey
992, mlangenberg
3981, techbelly
14720, mholub
233, tdreyno
4113, wzph
905, tohchye
107, lancecarlson
9310, maseb
75, abhay
2739, tarvaina
326, dsiem
3300, jherdman
159, technicalpickles
682, digitalhobbit
85, brixen
7851, dbussink
7, evanphx
9831, drbrain
3393, rue
98601, jfirebaugh
1180335, kachick
174, wilson
5244, agardiner
6784, dgtized
117807, ryoqun
86065, YorickPeterse
2195, arthurschreiber
9781, vvs
237493, razielgn
43569, chuckremes
9832, zenspider
505, mkhl
18191, jc00ke
48235, ileitch
33770, marcandre
34378, marnen
448040, argent-smith
269, kamal
11041, cezarsa
5432, kronos
3534, shoe
362164, leocassarani
1060507, ahmadsherif
470, eric
5927, fcheung
20, kevinclark
5426095, chiriaev
13449, cyrilpic
335510, danshultz
201, monde
25282, woahdae
348, raggi
18891, jberkel
816444, lukeasrodgers
20158, spraints
1077, pdlug
92894, rafmagana
873348, robmiller
98859, buffym
780359, warnergodfrey
1434, Bertg
378481, carsonreinke
26856, tigris
207189, dacaga
2704, geoffgarside
47, jnewland
21102, ice799
14649, ps2
12062, willbryant
309021, turley
17, vanpelt
161, ryanb
4974, nicklinnell
105, automatthew
129149, Dorian
12123, lightcap
24777, bryan-ash
14761, mrduncan
433, bscofield
47698, jakimowicz
7767, ggoodale
1473, redmar
1060, andrew
1175, bjhess
639, barrym
538, codafoo
8324, oboxodo
10948, gramos
20567, JohnMunsch
31768, lsimoneau
3270, mhennemeyer
3775, nbibler
49660, romanbsd
3903, zaach
155, jicksta
11939, eadz
154, nicksieger
247, francois
955, minter
819, FooBarWidget
740, rmm5t
397, crafterm
673, redinger
3042, segfault
10254, rolfb
2478, djones
3024, zsombor
108, drnic
3516, erkki
5603, gtd
828, jbattermann
7011, aka47
2624, bhauman
2190, ralph
359806, solum13
25, Caged
27, anotherjesse
12951, yosh
303, itfische
16061, erwan
8596, jakedahn
2459, johan
281, joshuamckenty
2911, mperham
45, mojodna
117, grempe
2394, timshadel
9954, blaine
870, mmmurf
113, mattetti
779, booss
12284, RichGuk
1054448, orangewolf
273347, ngollan
2833, namelessjon
38, atmos
335, bitbckt
5445, cv
22, macournoyer
35, kevwil
43489, goldmann
4912, sikachu
760, ctcherry
137, josh
134304, MasterLambaster
4642414, penguinpowernz
3528, markbates
127453, atotic
82603, brucek
74834, Flameeyes
14182, jeremyz
4182, luislavena
104158, markburns
51481, mkwiatkowski
221332, catwell
149267, rgaiser
4292, smparkes
14406, voxik
7074, wincent
17408137, frameworked
59744, schneems
3124, tenderlove
37, jamesgolick
46677, r00k
422, shadowmaru
2300, webmat
6355, hardbap
22803, lovitt
36, KirinDave
30442, rkh
120195, gnandretta
90, sr
46, bmizerany
47089, michelc
25136, vast
263378, burningTyger
978, cypher
46235, timfel
6119, cschneid
411426, mattwildig
6241, sylvaindesve
177, adamwiggins
437, foca
200500, nashby
36295, gaku
568, nmeans
32470, tjbladez
36079, lest
63635, nouse
277819, zzak
56934, blambeau
2268, djanowski
6537, DAddYE
30452, dougireton
16362, baldowl
36059, mnoble
52, reinh
62331, stevehodgkiss
674, osteele
675, veilleperso
76379, robertodecurnex
1433666, tarcinil
2406, jamesarosen
200, ELLIOTTCABLE
8739, koke
218164, mikemallete
3500, hotchpotch
34578, cwalsh
2047, ericgoodwin
18397, gf3
13995, joemoore
13026, titanous
1304821, taquitos
62389, nishidayuya
10812, adamhooper
869453, drakmail
3174763, Swimminschrage
135708, arnvald
1216592, bsedat
319239, othatbrian
32073, bryanlarsen
115477, chadrosen
9559624, bakku
440232, NotDaveLane
298309, davefp
6269, ddfreyne
949398, ericTsiliacos
1036610, EPecherkin
74, mmower
14567, pjlegato
1116771, TheNaoX
493192, mmbenny
299, halfbyte
488309, rradonic
5001, humanzz
4732, jashkenas
6078, jmoses
17347, threedaymonk
17538, eviltrout
122477, yoni
206333, ryanong
197567, leejarvis
651800, davispuh
16556, twalpole
4312, mkdynamic
3632442, TalkativeTree
1067359, alexdowad
394835, grantovich
7270, jf
1084619, dnrce
153008, solidsnack
13203, koic
8590, moorage
26463, jpmckinney
2377, jdelStrother
2874, precipice
83078, samlehman
13333, slaxor
77664, tbuehlmann
121322, leereilly
17684, kakra
4810, AaronH
7538797, arencinosa
764975, temochka
722, brettg
110196, cfabianski
17325, bluefuton
329, chris
182457, ccss-sandia
17139826, dragon-dave
2939, courtenay
106, queso
2035, carlosbrando
115, lawrencepit
19264, lautis
56937, i0n
3122, brianjlandau
5281, tobstarr
273, jqr
11901, sorbits
3736, ciaran
12844, masterkain
152152, derekprior
8009, dmarkow
142572, serevaris
32771, klausbreyer
254960, kostasdizas
136013, matthewlehner
1974, infininight
2687, radar
39741, SizzlerWA
2560, bjeanes
65959, robertlyc
110, danwrong
20321, mroderick
529, auser
20569, wlach
230005, jamespharaoh
12584, nirvdrum
11287, yannski
52933, no0p
30011, nstielau
32460, wkhere
1731, skwp
36922, cstar
5352, juno
7499432, whatever8
92764, bploetz
13277, ches
29618, cfox
47542, skade
35101, blasdelf
20244, jdrowell
113625, MrJoy
11443, wallace
1194, kerryb
76871, sgonyea
1642, rubysolo
1206, delano
8457, lanaer
20423, dennisjbell
188, nex3
49, hornbeck
121, up_the_irons
1735, foysavas
9849, jdunphy
14301, pk
726, pjb3
940, pusewicz
922, greenpart
21502, jarredholman
53, knzconnor
288, johnny
920, be9
3467, kovyrin
4383, antw
19319, logankoester
25775, davekrupinski
124, brosner
45870, leah
36852, daonb
11840, realityforge
440, norbert
8885753, mattmccutchen
9715, ttilley
171162, jdicioccio
1401, h3h
211, olleolleolle
475, aussiegeek
437291, bdurrow
1999, christophsturm
14773, mlightner
13251, piotrb
1232, mindreframer
66463, thomasdeniau
14151, TylerRick
322, luke
139, chneukirchen
3471, scytrin
636, qerub
2856, tim
3507, manveru
2876, aredridel
3761, 7hunderbird
48054, mpapis
2226, mage2k
2182, danp
770137, shillerey
456695, jcstringer
13855, kiere
564806, benfyvie
8725, mdolian
14098, svanzoest
244, watsonian
22277, atavistock
1292, cee-dub
28270, dholdren
25666, BanzaiMan
648, jhsu
2205, kjg
12230, krutten
829, mutle
3294, shaiguitar
62600, serviceseeking
2523305, square-build-bot
34146, ydnar
850307, tomas-abrahamsson
50, jwhitmire
246, brapse
168, aflatter
226692, insin
5618114, drprofesq
141, technomancy
2071, JackDanger
130, nate
680266, kiela
221732, mhickman84
